Стоимости перевозок
Поставщики;;;Потребители;
;1;2;3;4;5;
A;4;8;13;2;7;
B;9;4;11;9;17;
C;3;16;10;1;4;
Неизвестные
;1;1;1;1;1;=СУММ(B8:F8);300;
;1;1;1;1;1;=СУММ(B9:F9);250;
;1;1;1;1;1;=СУММ(B10:F10);200;
;=СУММ(B8:B10);=СУММ(C8:C10);=СУММ(D8:D10);=СУММ(E8:E10);=СУММ(F8:F10);
;210;150;120;135;135;
Функция цели
;=СУММПРОИЗВ(B4:F6,B8:F10);;;;В формуле СУММПРОИЗВ замените запятую на <точку с запятой>
;;;;;Мышкой или с помощью клавиатуры перейдите к ячейке <B14>
;;;;;Выполните команду <Сервис / Поиск решения>
;;;;;Нажмите <Параметры>. Отметье <Линейная модель>, <Неотрицательные значения>
;;;;;В диалоговом окне укажите:
;;;;;в поле <Равной>: минимальному значению
;;;;;в поле <изменяя ячейки>: $B$8:$F$10
;;;;;Поле <Ограничения> должно иметь следующее содержание:
;;;;;$G$8:$G$10<=$H$8:$H$10
;;;;;$B$11:$F$11=$B$12:$F$12
